family	species	short	node	fpc	fnc	model	difference
Mir-10	Blattella_germanica	bge	Eumetazoa	0	0	mirmachine	NA
Mir-1175	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-12	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-124	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-133	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-137	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-153	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-184	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-190	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-193	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-1993	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-2	Blattella_germanica	bge	Protostomia	0	1	mirmachine	-1
Mir-2001	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-210	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-216	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-219	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-22	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-252	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-275	Blattella_germanica	bge	Arthropoda	0	0	mirmachine	NA
Mir-276	Blattella_germanica	bge	Arthropoda	0	0	mirmachine	NA
Mir-2765	Blattella_germanica	bge	Pancrustacea	0	0	mirmachine	NA
Mir-277	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-278	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-279	Blattella_germanica	bge	Protostomia	2	0	mirmachine	1
Mir-281	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-282	Blattella_germanica	bge	Pancrustacea	0	0	mirmachine	NA
Mir-29	Blattella_germanica	bge	Bilateria	0	2	mirmachine	-1
Mir-3	Blattella_germanica	bge	Pancrustacea	0	3	mirmachine	-1
Mir-305	Blattella_germanica	bge	Ecdysozoa	0	0	mirmachine	NA
Mir-31	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-315	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-316	Blattella_germanica	bge	Pancrustacea	0	0	mirmachine	NA
Mir-317	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-33	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-34	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-375	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-67	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-7	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-71	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-750	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-76	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-8	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-87	Blattella_germanica	bge	Protostomia	0	0	mirmachine	NA
Mir-9	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-92	Blattella_germanica	bge	Bilateria	5	0	mirmachine	1
Mir-96	Blattella_germanica	bge	Bilateria	0	0	mirmachine	NA
Mir-965	Blattella_germanica	bge	Pancrustacea	0	0	mirmachine	NA
Let-7	Bos_taurus	bta	Bilateria	0	0	mirmachine	NA
Mir-1	Bos_taurus	bta	Bilateria	0	0	mirmachine	NA
